state,zip_code,zip_first_two_digits,school_type,school_level,rate_unemployment,percent_college,percent_married,median_income,percent_lunch,state_population,zip_first_two_digits_population,average_act
39,10031,10,1,2,0.5152288234753386,0.5985208132702518,-1.7849314038579416,-0.3829229975973733,-0.13960065431568583,0.9634030226392952,0.10343687708886674,20.3724053724054
22,70471,70,1,2,-0.37080066579578674,0.6874467957501751,0.018447129995502555,0.41284141988327694,-1.1468431324190198,-1.0912773137627452,-0.6336909926524972,19.2979242979243
12,78640,78,1,2,-1.20599102809399,0.3821117501792067,0.5447582586336658,0.8438096055247447,0.2717766234556777,2.1762978578422096,1.2074376470471546,17.0757020757021
35,46910,46,1,2,-0.9796876229262113,-1.5536735216283455,0.6334241457262675,0.4175709513776095,-0.004881098870258215,-0.8071837763907889,-0.01775896619375121,19.8107448107448
38,19465,19,1,2,-0.2882814844966402,0.8867774830527452,1.0267832905615082,1.29050140902895,-1.2914429799957001,0.01774422457800519,0.14503321797180654,19.981684981685
28,28340,28,1,2,0.8532344306345763,-1.1623523710712662,-1.523146093109639,-1.0957961525720885,1.3180085675890074,-0.32056694067077024,0.39403154834638787,19.3223443223443
34,54153,54,1,2,-0.292804157713585,-0.6079593004715587,0.8078848904358404,-0.043641343556564294,-0.2233215246568156,-0.925829269877872,-0.960216500156801,20.4945054945055
20,64640,64,1,2,-0.6095749729218484,-0.6136060163451097,0.67791734546739,-0.46237082927848716,-0.32212955231260615,-0.8915691154626094,-1.242074278713477,18.3699633699634
12,78065,78,1,2,-0.2265026499196654,-1.7938997587888164,-1.4247316774062782,-0.6047961066472933,0.8456456064671386,2.1762978578422096,1.2074376470471546,
37,44286,44,1,2,-0.6148983588379144,1.1342480418839016,0.8569639000303995,1.1621402647880277,-1.5765106127601796,-0.14136509188157922,-0.15989731026408338,20.982905982906
37,43235,43,1,2,-1.2836423237261636,2.3868340181082925,1.553390030247745,3.38896134336964,-1.1057259382457318,-0.14136509188157922,-0.5113395491846926,
25,33770,33,1,2,-0.6315026485426902,0.02242541580373823,0.07903916228191273,-0.5785762478366072,-0.11740835323712424,1.1603159277530588,2.462080044459979,18.1746031746032
37,43219,43,1,2,0.41528712676580276,1.5477836506750546,1.3296791135672767,-0.016757690851936728,1.1252056784322997,-0.14136509188157922,-0.5113395491846926,
35,46777,46,1,2,-0.5682463254068874,-0.10630020636728091,0.30527805985154893,-0.06509018375454648,-1.0687976732910534,-0.8071837763907889,-0.01775896619375121,19.004884004884
